{'session_id': 'fbf23aa1cb1040cc9ee8c33ea5e0a86b'}
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=0 | lang= text='' full='' | finalized=[]
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今。' full='今。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好。' full='今天天气真好。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好。' full='今天天气真好。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光。' full='今天天气真好，阳光。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在。' full='今天天气真好，阳光洒在。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。' full='今天天气真好，阳光洒在窗户上。' | finalized=[]
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。' full='今天天气真好，阳光洒在窗户上。' | finalized=[]
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上，我坐在电脑。' full='今天天气真好，阳光洒在窗户上，我坐在电脑。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写课。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写课。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉。' | finalized=[]
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情。' | finalized=[]
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很。' | finalized=[]
